status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000002896,286,55,38.863,326.1
RUNNING,0.033333333,2.55000006839,339,69,45.465,388.4
RUNNING,0.050000000,2.55000129466,393,84,52.690,388.4
RUNNING,0.066666667,2.55000028145,445,100,60.208,394.2
RUNNING,0.083333333,2.55000004037,504,117,68.319,402.8
RUNNING,0.100000000,2.55000004098,562,132,75.710,402.8
RUNNING,0.116666667,2.55000001898,605,143,81.019,402.8
RUNNING,0.133333333,2.55000001519,659,158,88.230,402.8
RUNNING,0.150000000,2.5500000028,714,173,95.392,402.8
RUNNING,0.166666667,2.55000000338,762,187,101.912,402.8
RUNNING,0.500000000,2.55000000449,1786,478,239.219,402.8
RUNNING,1.000000000,2.55000000172,3282,915,442.849,403.9
RUNNING,1.500000000,2.5499070807,4720,1349,640.686,404.5
RUNNING,2.000000000,2.54536260683,6164,1773,830.264,405.6
RUNNING,2.500000000,2.51795164566,7728,2234,1037.429,405.6
RUNNING,3.000000000,2.45472464417,9374,2713,1253.943,407.2
RUNNING,0.016666667,2.55000002896,286,55,16.920,297.7
RUNNING,0.033333333,2.55000006839,339,69,20.317,334.1
RUNNING,0.050000000,2.55000129466,393,84,23.983,339.2
RUNNING,0.066666667,2.55000028145,445,100,27.834,339.2
RUNNING,0.083333333,2.55000004037,504,117,31.952,339.2
RUNNING,0.100000000,2.55000004098,562,132,35.733,339.2
RUNNING,0.116666667,2.55000001898,605,143,38.472,339.2
RUNNING,0.133333333,2.55000001519,659,158,42.136,339.2
RUNNING,0.150000000,2.5500000028,714,173,45.808,339.2
RUNNING,0.166666667,2.55000000338,762,189,49.507,339.2
RUNNING,0.016666667,2.55000002896,286,55,14.897,273.7
RUNNING,0.033333333,2.55000006839,339,69,18.190,305.7
RUNNING,0.050000000,2.55000129466,393,84,21.845,315.0
RUNNING,0.066666667,2.55000028145,445,100,25.691,316.5
RUNNING,0.083333333,2.55000004037,504,117,29.794,316.5
RUNNING,0.100000000,2.55000004098,562,132,33.543,320.4
RUNNING,0.116666667,2.55000001898,605,143,36.278,320.4
RUNNING,0.133333333,2.55000001519,659,158,39.936,320.4
RUNNING,0.150000000,2.5500000028,714,173,43.584,324.1
RUNNING,0.166666667,2.55000000338,762,189,47.295,324.1
RUNNING,0.500000000,2.55000000449,1786,483,117.621,325.4
RUNNING,1.000000000,2.55000000172,3285,928,223.494,325.4
RUNNING,1.500000000,2.5499070807,4723,1349,323.974,325.4
RUNNING,2.000000000,2.54536260683,6171,1769,421.421,325.4
RUNNING,0.016666667,2.55000002896,286,55,17.301,296.9
RUNNING,0.033333333,2.55000006839,339,69,20.775,334.2
RUNNING,0.050000000,2.55000129466,393,84,24.610,334.2
RUNNING,0.066666667,2.55000028145,445,100,28.578,334.8
RUNNING,0.083333333,2.55000004037,504,117,32.825,335.8
RUNNING,0.100000000,2.55000004098,562,132,36.706,335.8
RUNNING,0.116666667,2.55000001898,605,143,39.531,335.8
RUNNING,0.133333333,2.55000001519,659,158,43.350,335.8
RUNNING,0.150000000,2.5500000028,714,173,47.124,335.8
RUNNING,0.166666667,2.55000000338,762,189,50.982,335.8
RUNNING,0.500000000,2.55000000449,1786,483,124.436,344.3
RUNNING,1.000000000,2.55000000172,3285,928,234.480,352.9
RUNNING,1.500000000,2.5499070807,4723,1349,340.564,377.8
RUNNING,0.016666667,2.55000002896,286,55,14.607,266.1
RUNNING,0.033333333,2.55000006839,339,69,17.849,300.2
RUNNING,0.050000000,2.55000129466,393,84,21.427,302.4
RUNNING,0.066666667,2.55000028145,445,100,25.136,308.9
